vidId,frameNum,timestamp,detectedObjId,detectedObjClass,confidence,bbox info
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,0,0.0,7,train,0.9570088982582092,"[68.0959701538086, 32.2735595703125, 640.0, 578.9856567382812]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,5,0.20854165503118308,7,train,0.9500023126602173,"[54.64387130737305, 29.580419540405273, 633.2943725585938, 575.6788330078125]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,10,0.41708331006236615,7,train,0.938064694404602,"[106.4454574584961, 32.42949295043945, 635.5836791992188, 578.3539428710938]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,15,0.6256249650935493,7,train,0.9445538520812988,"[128.32022094726562, 32.45673751831055, 634.4137573242188, 585.2631225585938]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,20,0.8341666201247323,7,train,0.9466428160667419,"[136.81179809570312, 33.57815170288086, 635.3792114257812, 567.4200439453125]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,25,1.0427082751559154,7,train,0.9479364156723022,"[84.8614273071289, 29.613697052001953, 633.5288696289062, 587.2086181640625]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,30,1.2512499301870985,7,train,0.9355626106262207,"[46.19216537475586, 25.97248649597168, 636.3432006835938, 598.6902465820312]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,35,1.4597915852182817,7,train,0.9508839845657349,"[60.29738998413086, 32.260498046875, 640.0, 588.6287841796875]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,40,1.6683332402494646,7,train,0.8581191301345825,"[74.79341125488281, 21.144018173217773, 634.6312866210938, 625.9967651367188]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,45,1.8768748952806478,7,train,0.8918429613113403,"[25.250659942626953, 30.313207626342773, 634.9296264648438, 580.3106689453125]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,50,2.0854165503118307,7,train,0.8898026347160339,"[50.671730041503906, 33.68254470825195, 627.9229125976562, 640.0]"
Why It is Usually Hotter In A City  Lets Talk  NPR.mp4,55,2.293958205343014,7,train,0.8143433928489685,"[69.18376922607422, 29.979761123657227, 628.6832275390625, 623.1847534179688]"
